Date,AAPL,MSFT
2020-02-01 00:00:00-05:00,1320.4,4623.4
2020-03-01 00:00:00-05:00,1231.2,4512.98
2020-04-01 00:00:00-04:00,1422.5,5128.22
2020-05-01 00:00:00-04:00,1539.38,5243.83
2020-06-01 00:00:00-04:00,1771.04,5839.8
2020-07-01 00:00:00-04:00,2063.5,5882.84
2020-08-01 00:00:00-04:00,2505.87,6471.67
2020-09-01 00:00:00-04:00,2253.01,6050.09
2020-10-01 00:00:00-04:00,2117.8,5824.0
2020-11-01 00:00:00-04:00,2316.04,6157.67
2020-12-01 00:00:00-05:00,2585.85,6414.61
2021-01-01 00:00:00-05:00,2571.63,6689.74
2021-02-01 00:00:00-05:00,2363.11,6701.86
2021-03-01 00:00:00-05:00,2384.01,6815.28
2021-04-01 00:00:00-04:00,2565.71,7289.64
2021-05-01 00:00:00-04:00,2432.02,7217.37
2021-06-01 00:00:00-04:00,2677.59,7848.85
2021-07-01 00:00:00-04:00,2851.59,8254.77
2021-08-01 00:00:00-04:00,2968.31,8746.44
2021-09-01 00:00:00-04:00,2770.5,8183.77
2021-10-01 00:00:00-04:00,2933.01,9626.5
2021-11-01 00:00:00-04:00,3236.49,9596.6
2021-12-01 00:00:00-05:00,3481.8,9780.8
2022-01-01 00:00:00-05:00,3427.1,9043.86
2022-02-01 00:00:00-05:00,3237.68,8689.36
2022-03-01 00:00:00-05:00,3428.12,8984.75
2022-04-01 00:00:00-04:00,3095.15,8087.47
2022-05-01 00:00:00-04:00,2922.18,7922.82
2022-06-01 00:00:00-04:00,2688.17,7501.96
2022-07-01 00:00:00-04:00,3195.25,8200.36
2022-08-01 00:00:00-04:00,3091.24,7637.49
2022-09-01 00:00:00-04:00,2721.05,6817.41
2022-10-01 00:00:00-04:00,3019.14,6794.87
2022-11-01 00:00:00-04:00,2914.59,7468.41
2022-12-01 00:00:00-05:00,2562.46,7039.75
2023-01-01 00:00:00-05:00,2845.67,7274.29
2023-02-01 00:00:00-05:00,2907.2,7321.55
2023-03-01 00:00:00-05:00,3257.1,8484.05
2023-04-01 00:00:00-04:00,3351.51,9042.0
2023-05-01 00:00:00-04:00,3501.04,9663.81
2023-06-01 00:00:00-04:00,3836.59,10043.26
2023-07-01 00:00:00-04:00,3885.64,9907.01
2023-08-01 00:00:00-04:00,3715.94,9666.35
2023-09-01 00:00:00-04:00,3390.99,9331.87
2023-10-01 00:00:00-04:00,3382.27,9992.71
2023-11-01 00:00:00-04:00,3762.15,11198.54
2023-12-01 00:00:00-05:00,3818.27,11136.28
2024-01-01 00:00:00-05:00,3657.04,11774.17
2024-02-01 00:00:00-05:00,3584.65,12249.78
2024-03-01 00:00:00-05:00,3405.15,12482.49
2024-04-01 00:00:00-04:00,3382.31,11551.17
2024-05-01 00:00:00-04:00,3817.59,12316.64
2024-06-01 00:00:00-04:00,4188.04,13284.64
2024-07-01 00:00:00-04:00,4415.91,12434.57
2024-08-01 00:00:00-04:00,4553.51,12398.6
2024-09-01 00:00:00-04:00,4638.41,12812.81
2024-10-01 00:00:00-04:00,4497.27,12099.66
2024-11-01 00:00:00-04:00,4724.61,12609.14
2024-12-01 00:00:00-05:00,4990.68,12575.9
